"id","product_full_name","product_fabric_icon_1","slug_fabric_icon_1","product_fabric_icon_2","slug_fabric_icon_2","product_fabric_icon_3","slug_fabric_icon_3","product_fabric_icon_4","slug_fabric_icon_4","product_fabric_icon_5","slug_fabric_icon_5","show_on_category_page","popular","is_new","available_for_delivery_2","available_for_delivery_28","available_in_showroom","product_img","description","price","closeup","width","depth","height","pdf","product_inside","product_inside_pillow","carcas_type","paws_type","mechanism_type","sleep_place","linen_drawer","scheme","features","created","updated","product_slug","category_id","collection_id","fabric_name_id","popover_id","slider_interior_id","carousel_item_1","carousel_item_2","carousel_item_3","carousel_item_4","carousel_item_5","carousel_item_mob_1","carousel_item_mob_2","carousel_item_mob_3","carousel_item_mob_4","carousel_item_mob_5","price_old","popover_img","carousel_item_6","carousel_item_mob_6","product_img_mob","show_fabric_icons","d3"
71,Малый пуф Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/ELEMENTA_POUF_M_CORS0_08_GOODS_01.png,"Пуф Elementa дополняет модульную систему. Конструируйте пространство так, как вам хочется",10000.00,closeups/ELEMENTA_POUF_S_CORS0_08_CLOSEUP.jpg,10,10,10,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-poufs-corso-08,9,3,8,2,2,carousel/ELEMENTA_POUF_S_CORS0_08_CARD_01.jpg,carousel/ELEMENTA_POUF_S_CORS0_08_CARD_02.jpg,"","","",carousel/ELEMENTA_POUF_S_CORS0_08_CARD_MOB_01.jpg,carousel/ELEMENTA_POUF_S_CORS0_08_CARD_MOB_02.jpg,"","","",,carousel/ELEMENTA_POUF_S_CORS0_08_CARD_01.jpg,"","",images/ELEMENTA_POUF_M_CORS0_08_GOODS_01.png,true,""
114,Угловой диван Denver,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_32.png,velutto-32,true,true,true,true,true,true,images/DENVER_CORNER_L_3M_ST_VELUTTO_32_GOODS_01.png,Угловой диван Denver станет стильным акцентом в интерьере,100000.00,closeups/DENVER_CORNER_L_3M_ST_VELUTTO_32_CLOSEUP_06.png,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"",Ортопедические свойства,2024-03-20 00:26:18.854 +0300,2024-03-20 00:26:18.854 +0300,denver-cornerl-velutto-32,3,11,5,2,2,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_01.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_02.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_03.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_04.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_05.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_01.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_02.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_03.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_04.jpg,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_05.jpg,,carousel/DENVER_CORNER_L_3M_ST_VELUTTO_32_CARD_MOB_02.jpg,"","",images/DENVER_CORNER_L_3M_ST_VELUTTO_32_GOODS_01.png,true,""
129,Угловой диван Modifica,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/TEDDY_917.png,teddy-917,fabric_icons/VELUTTO_16.png,velutto-16,true,true,true,true,true,true,images/MODIFICA_CORNER_R_VELUTTO_16_GOODS_01.png,Уютный диван,100000.00,closeups/MODIFICA_CORNER_R_VELUTTO_16_CLOSEUP.png,140,90,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"",Ортопедические свойства,2024-03-20 01:26:18.854 +0300,2024-03-20 01:26:18.854 +0300,modifica-corner_r-velutto-16,16,9,11,2,2,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_01.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_02.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_03.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_04.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_05.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_MOB_01.jpg,carousel/MODIFICA_CORNER_L_3M_ST_VELUTTO_16_CARD_MOB_02.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_MOB_03.jpg,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_MOB_04.jpg,"",,carousel/MODIFICA_CORNER_R_3M_ST_VELUTTO_16_CARD_02.jpg,"","",images/MODIFICA_CORNER_R_VELUTTO_16_GOODS_01.png,true,""
29,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_CORSO_08_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",186233.00,closeups/CONSONO_CORNER_ST_LEFT_CORSO_08_CLOSEUP.jpg,283,72,84,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/CON_ARMCH.svg,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 22:24:40.860 +0300,consono-cornerl-corso-08,3,1,8,2,2,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_CORSO_08_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,"","",images/CONSONO_CORNER_ST_LEFT_CORSO_08_GOODS_02.png,true,"3d/CONSONO_CORNER_ST_LEFT_MAX2018.zip"
90,Подушка Esfera,"","","","","","","","","","",true,true,true,true,true,true,images/PILLOW_CANDY_PLOMBIR.png,Подушка необычной формы станет замечательным дополнением к диванам и модульным системам коллекций Consono и Elementa,10000.00,closeups/PILLOW_CANDY_PLOMBIR_closeup.jpg,47,47,47,"","",Пух-перо,нет,нет,нет,нет,нет,"",Ортопедические свойства,2024-03-15 18:56:18.854 +0300,2024-03-15 18:56:18.854 +0300,pillow-accessory-candy-plombir,8,10,13,,2,carousel/PILLOW_CANDY_PLOMBIR_1.jpg,carousel/PILLOW_CANDY_PLOMBIR_2.jpg,"","","",carousel/PILLOW_CANDY_PLOMBIR_1_mob.jpg,carousel/PILLOW_CANDY_PLOMBIR_2_mob.jpg,"","","",,"","","",images/PILLOW_CANDY_PLOMBIR_mob.png,false,""
91,Подушка Moore,"","","","","","","","","","",true,true,true,true,true,true,images/PILLOW_PRIMAVERA_5402.png,Стильная плоская подушка cбурлетом и скругленными углами отлично дополнит интерьер в стиле лофт,10000.00,closeups/PILLOW_PRIMAVERA_5402_closeup.jpg,50,10,50,"","",Пух-перо,нет,нет,нет,нет,нет,"",Ортопедические свойства,2024-03-15 18:56:18.854 +0300,2024-03-15 18:56:18.854 +0300,pillow-accessory-primavera,8,10,15,,2,carousel/PILLOW_PRIMAVERA_5402_1.jpg,carousel/PILLOW_PRIMAVERA_5402_2.jpg,carousel/PILLOW_PRIMAVERA_5402_3.jpg,"","",carousel/PILLOW_PRIMAVERA_5402_1_mob.jpg,carousel/PILLOW_PRIMAVERA_5402_2_mob.jpg,carousel/PILLOW_PRIMAVERA_5402_3_mob.jpg,"","",,"","","",images/PILLOW_PRIMAVERA_5402_mob.png,false,""
92,Подушка Sciurus,"","","","","","","","","","",true,true,true,true,true,true,images/PILLOW_SAHARA_026.png,Стильная подушка с кантом станет ярким акцентом в интерьере,10000.00,closeups/PILLOW_SAHARA_026_closeup.jpg,47,10,47,"","",Пух-перо,нет,нет,нет,нет,нет,"",Ортопедические свойства,2024-03-15 18:56:18.854 +0300,2024-03-15 18:56:18.854 +0300,pillow-accessory-sahara,8,10,14,,2,carousel/PILLOW_SAHARA_026_1.jpg,carousel/PILLOW_SAHARA_026_2.jpg,carousel/PILLOW_SAHARA_026_3.jpg,"","",carousel/PILLOW_SAHARA_026_1_mob.jpg,carousel/PILLOW_SAHARA_026_2_mob.jpg,carousel/PILLOW_SAHARA_026_3_mob.jpg,"","",,"","","",images/PILLOW_SAHARA_026_mob.png,false,""
73,Малый пуф Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/ELEMENTA_POUF_M_KILLIAN_01_GOODS_01.png,"Пуф Elementa дополняет модульную систему. Конструируйте пространство так, как вам хочется",10000.00,closeups/ELEMENTA_POUF_S_KILLIAN_01_CLOSEUP.jpg,10,10,10,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-poufs-kilian-01,9,3,7,2,2,carousel/ELEMENTA_POUF_S_KILLIAN_01_CARD_01.jpg,carousel/ELEMENTA_POUF_S_KILLIAN_01_CARD_02.jpg,"","","",carousel/ELEMENTA_POUF_S_KILLIAN_01_CARD_MOB_01.jpg,carousel/ELEMENTA_POUF_S_KILLIAN_01_CARD_MOB_02.jpg,"","","",,carousel/ELEMENTA_POUF_S_KILLIAN_01_CARD_01.jpg,"","",images/ELEMENTA_POUF_M_KILLIAN_01_GOODS_01.png,true,""
63,Модульная система Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/ELEMENTA_EL2_182_EL_MAX_CORS0_08_GOODS_01.png,"Elementa – универсальная модульная система, позволяющая скомпоновать множество конфигураций: от небольшого дивана-кровати до свободно стоящего модульного дивана, включающего столики, оттоманки и модули увеличенной глубины. Сдержанный, лаконичный дизайн подходит для различных интерьеров. В диван входит модуль EL2-202, оснащенный механизмом трансформации, который образует спальное место размером",291620.00,closeups/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CLOSEUP.jpg,250,106,80,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,Пантограф,да,нет,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-mod1-corso-08,5,3,8,2,2,carousel/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CARD_01.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CARD_02.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CARD_03.jpg,"","",carousel/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CARD_MOB_01.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CARD_MOB_02.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CARD_MOB_03.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CARD_MOB_04.jpg,"",,carousel/ELEMENTA_EL2_182_EL_MAX_CORS0_08_CARD_01.jpg,"","",images/ELEMENTA_EL2_182_EL_MAX_CORS0_08_GOODS_01.png,true,""
65,Модульная система Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_GOODS_01.png,"Elementa – универсальная модульная система, позволяющая скомпоновать множество конфигураций: от небольшого дивана-кровати до свободно стоящего модульного дивана, включающего столики, оттоманки и модули увеличенной глубины. Сдержанный, лаконичный дизайн подходит для различных интерьеров. В диван входит модуль EL2-202, оснащенный механизмом трансформации, который образует спальное место размером",291620.00,closeups/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CLOSEUP.jpg,250,106,80,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,Пантограф,да,нет,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-mod1-kilian-01,5,3,7,2,2,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_01.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_02.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_03.jpg,"","",carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_MOB_01.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_MOB_02.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_MOB_03.jpg,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_MOB_04.jpg,"",,carousel/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_CARD_01.jpg,"","",images/ELEMENTA_EL2_182_EL_MAX_KILLIAN_01_GOODS_01.png,true,""
